Date,Open,High,Low,Close,VWAP
2015-12-17,209.59,209.68,206.0,206.08,207.569793
2015-12-18,205.13,205.23,202.14,202.22,203.666557
2015-12-21,203.83,204.23,202.43,203.96,203.264786
2015-12-22,205.04,206.23,203.91,205.85,205.202104
2015-12-23,207.08,208.46,206.94,208.44,207.899028
2015-12-24,206.98,207.54,206.6428,206.83,207.020056
2015-12-28,206.09,206.45,205.15,206.34,205.85025
2015-12-29,207.56,208.8,207.5,208.51,208.16598
2015-12-30,208.13,208.21,206.78,206.97,207.688639
2015-12-31,206.21,206.9,204.87,204.87,205.749608
2016-01-04,201.47,202.01,199.59,202.0,200.706699
2016-01-05,202.31,202.88,201.035,202.42,201.988317
2016-01-06,199.36,201.02,198.57,199.77,199.806024
2016-01-07,196.3,198.4,194.57,194.99,195.874668
2016-01-08,196.135,196.8117,192.52,192.83,194.760511
2016-01-11,193.95,194.33,190.78,193.03,192.526948
2016-01-12,194.85,195.5,192.08,194.52,193.724393
2016-01-13,195.35,195.81,189.3,189.79,192.012571
2016-01-14,190.48,194.2,188.57,192.8,192.060965
2016-01-15,187.64,189.69,186.46,188.74,188.285699
2016-01-19,190.8,191.01,187.1201,188.84,189.184835
2016-01-20,185.93,188.41,181.9001,186.65,185.051087
2016-01-21,187.11,189.79,185.58,187.62,188.273159
2016-01-22,190.71,191.67,189.82,191.49,190.89996
2016-01-25,190.86,191.08,188.34,188.57,189.793064
2016-01-26,189.36,191.44,188.94,191.13,190.606556
2016-01-27,190.61,192.5,187.98,189.08,190.432786
2016-01-28,190.9,191.1,188.08,190.11,190.019588
2016-01-29,190.94,194.69,190.82,194.62,193.433431
2016-02-01,193.47,195.5301,192.795,194.6,194.198694
2016-02-02,192.94,192.94,190.475,191.09,191.664491
2016-02-03,192.39,192.72,188.0453,192.11,190.542085
2016-02-04,191.71,193.69,190.93,192.53,192.207373
2016-02-05,191.96,192.02,188.14,188.85,189.441886
2016-02-08,186.68,187.0015,183.72,186.31,187.08433
2016-02-09,184.21,187.87,184.11,186.24,185.92297
2016-02-10,187.3,189.236,186.04,186.15,187.564908
2016-02-11,183.18,184.96,182.02,183.83,183.562973
2016-02-12,185.84,187.58,184.87,187.55,186.629579
2016-02-16,189.76,190.736,188.56,190.67,190.008521
2016-02-17,192.12,194.28,191.97,193.83,193.543814
2016-02-18,194.2,194.2499,192.69,193.05,193.311264
2016-02-19,192.13,193.14,191.42,192.93,192.542456
2016-02-22,194.85,195.93,194.79,195.72,195.460008
2016-02-23,195.02,195.28,193.16,193.34,193.866853
2016-02-24,191.59,194.5,190.27,194.22,192.384787
2016-02-25,194.71,196.56,193.82,196.5,195.205697
2016-02-26,197.58,197.68,195.8901,196.15,196.867914
2016-02-29,196.14,197.246,194.42,194.51,195.817456
2016-03-01,196.02,199.21,195.47,199.19,197.893884
2016-03-02,198.72,200.09,198.28,200.07,199.24254
2016-03-03,199.79,200.83,199.14,200.78,200.004252
2016-03-04,201.08,202.4,200.1,201.48,201.331035
2016-03-07,200.41,202.12,200.29,201.68,201.210995
2016-03-08,200.365,200.96,199.25,199.38,200.085406
2016-03-09,200.39,200.8,199.4501,200.41,200.209949
2016-03-10,201.0,202.11,198.46,200.52,200.051371
2016-03-11,202.32,203.88,202.2,203.84,203.138746
2016-03-14,203.25,204.13,202.85,203.56,203.579836
2016-03-15,202.44,203.28,202.12,203.22,202.808642
2016-03-16,202.64,204.9,202.59,204.52,203.834285
2016-03-17,204.35,206.33,203.86,205.81,205.515218
2016-03-18,206.38,206.94,205.96,206.57,206.51086
2016-03-21,206.25,207.11,205.96,206.87,206.684057
2016-03-22,205.92,207.4,205.73,206.75,206.811831
2016-03-23,205.13,205.36,204.05,204.3,204.697828
